id,5BZCATName,SourceClassification,R.A.(J2000),Dec.(J2000),Redshift
1,5BZQJ0000-3221,QSORLoudflatradiosp.,0.08496,-32.35028,1.275
2,5BZQJ0001-1551,QSORLoudflatradiosp.,0.27208,-15.85194,2.044
3,5BZQJ0001+1914,QSORLoudflatradiosp.,0.28592,19.24283,3.1
4,5BZBJ0001-0746,BLLac,0.32504,-7.77408,
5,5BZBJ0001-0011,BLLac,0.33954,-0.19442,0.462
6,5BZGJ0001-1031,BLLac-galaxydominated,0.48858,-10.52147,0.252
7,5BZBJ0002-0024,BLLac,0.73817,-0.41308,0.523
8,5BZQJ0003+2129,QSORLoudflatradiosp.,0.83058,21.49572,0.45
9,5BZBJ0004-1148,BLLac,1.02033,-11.81611,
10,5BZQJ0004+4615,QSORLoudflatradiosp.,1.06738,46.25506,1.81
11,5BZQJ0004-4736,QSORLoudflatradiosp.,1.1485,-47.60542,0.884
12,5BZQJ0004+2019,QSORLoudflatradiosp.,1.14896,20.3285,0.677
13,5BZQJ0005-1648,QSORLoudflatradiosp.,1.32471,-16.80131,0.78
14,5BZQJ0005+0524,QSORLoudflatradiosp.,1.33421,5.40303,1.9
15,5BZQJ0005+3820,QSORLoudflatradiosp.,1.48825,38.33756,0.229
16,5BZBJ0006-0623,BLLac,1.55788,-6.39311,0.347
17,5BZQJ0006-4245,QSORLoudflatradiosp.,1.58221,-42.75517,1.77
18,5BZGJ0006+1051,BLLac-galaxydominated,1.58454,10.86436,0.168
19,5BZQJ0006+2422,QSORLoudflatradiosp.,1.70329,24.37681,1.684
20,5BZQJ0007-6113,QSORLoudflatradiosp.,1.83575,-61.21842,0.857
21,5BZBJ0007+4712,BLLac,1.99988,47.20214,0.28
22,5BZQJ0008-2339,QSORLoudflatradiosp.,2.00154,-23.65497,1.412
23,5BZBJ0008-2339,BLLac,2.14742,-23.65772,0.147
24,5BZQJ0008-4619,QSORLoudflatradiosp.,2.15642,-46.328,1.85
25,5BZBJ0009+0628,BLLac,2.26633,6.47261,
26,5BZQJ0009+0625,QSORLoudflatradiosp.,2.32104,6.43186,2.694
27,5BZBJ0009+5030,BLLac,2.34488,50.50794,
28,5BZQJ0010+2047,QSORLoudflatradiosp.,2.61979,20.79725,0.6
29,5BZQJ0010+1058,QSORLoudflatradiosp.,2.62917,10.97489,0.089
30,5BZQJ0010+1724,QSORLoudflatradiosp.,2.64163,17.40528,1.601
31,5BZQJ0010-3027,QSORLoudflatradiosp.,2.64883,-30.46317,1.19
32,5BZQJ0010-2945,QSORLoudflatradiosp.,2.68825,-29.75367,2.344
33,5BZQJ0011-2612,QSORLoudflatradiosp.,2.75508,-26.20889,1.096
34,5BZQJ0011-3620,QSORLoudflatradiosp.,2.81133,-36.34428,2.324
35,5BZQJ0011+0057,QSORLoudflatradiosp.,2.87667,0.96444,1.492
36,5BZGJ0012-1628,BLLac-galaxydominated,3.14108,-16.46869,0.151
37,5BZQJ0012+3353,QSORLoudflatradiosp.,3.19733,33.89406,1.682
38,5BZBJ0012-3954,BLLac,3.2495,-39.90717,
39,5BZQJ0013-1513,QSORLoudflatradiosp.,3.33625,-15.22978,1.838
40,5BZQJ0013-0423,QSORLoudflatradiosp.,3.47546,-4.39781,1.075
41,5BZGJ0013-1854,BLLac-galaxydominated,3.4835,-18.90181,0.095
42,5BZBJ0013+1910,BLLac,3.48483,19.17833,0.477
43,5BZBJ0014-5022,BLLac,3.54763,-50.37636,
44,5BZGJ0014+0854,BLLac-galaxydominated,3.58233,8.90039,0.162
45,5BZQJ0014-3059,QSORLoudflatradiosp.,3.65813,-30.98867,2.785
46,5BZBJ0014+5802,BLLac,3.67554,58.03367,
47,5BZQJ0015-1812,QSORLoudflatradiosp.,3.76033,-18.21408,0.743
48,5BZBJ0015+3536,BLLac,3.86654,35.611,
49,5BZQJ0015+1700,QSORLoudflatradiosp.,3.91658,17.01139,1.709
50,5BZQJ0016-0015,QSORLoudflatradiosp.,4.04621,-0.25344,1.577
51,5BZQJ0017+8135,QSORLoudflatradiosp.,4.28525,81.58561,3.387
52,5BZQJ0017-0512,QSORLoudflatradiosp.,4.39921,-5.21156,0.227
53,5BZBJ0017+1451,BLLac,4.40375,14.85053,0.303
54,5BZQJ0017-2748,QSORLoudflatradiosp.,4.49583,-27.80586,1.169
55,5BZBJ0018+2947,BLLac,4.61579,29.79189,0.1
56,5BZBJ0019-8152,BLLac,4.83575,-81.88092,
57,5BZBJ0019+2021,BLLac,4.90767,20.36272,
58,5BZQJ0019+2602,QSORLoudflatradiosp.,4.91575,26.04789,0.284
59,5BZQJ0019-3031,QSORLoudflatradiosp.,4.92783,-30.522,2.677
60,5BZQJ0019+7327,QSORLoudflatradiosp.,4.94071,73.45842,1.781
61,5BZBJ0021-2550,BLLac,5.38558,-25.847,
62,5BZBJ0021-0900,BLLac,5.42604,-9.01231,0.648
63,5BZBJ0022-5140,BLLac,5.50033,-51.67339,
